"会社名","住所","電話番号","WebサイトURL","Google評価","レビュー数","都道府県","place_id","メールアドレス","メール取得元URL"
"（有）長嶋印刷","〒422-8033 静岡県静岡市駿河区登呂２丁目９−２０ 長嶋印刷","054-287-8312","http://www.nagashima-p.co.jp/","","0","静岡県","ChIJa1QiSDc2GmARLhLS7akbcSM","info@nagashima-p.co.jp","http://www.nagashima-p.co.jp/"
"クドウ・クリエイト","〒416-0948 静岡県富士市森島７９−１３","0545-61-3595","https://kudocreate.jp/","5","1","静岡県","ChIJfx3Yr1krGmARYYUZDF8mQyw","",""
"㈱島村謄文堂 とうぶんどう工房","〒426-0061 静岡県藤枝市田沼１丁目１５−８","054-635-1305","http://www.toubundou.co.jp/tkoubou/","4.5","13","静岡県","ChIJZRtBvfVPGmAR3abXfQtPHTE","xxxxx@gmail.com","http://www.toubundou.co.jp/contact"
"萩田印章舗南本店","〒436-0029 静岡県掛川市南１丁目１６−６","0537-22-5405","https://www.hankowa.jp/hgt1.html","3.6","7","静岡県","ChIJ0y5Fr5X5GmAR91Ev8JtJwvQ","wbs25328@mail.wbs.ne.jp","https://www.hankowa.jp/hgt1.html"
"株式会社KLEE","〒420-0034 静岡県静岡市葵区常磐町３丁目６−２ ２Ｆ","054-266-3663","https://kleedesign.jp/","5","9","静岡県","ChIJJSo3KPVJGmARtLiC41y_0TI","support@kleedesign.jp","https://kleedesign.jp/"
"オリジナルプリントDesign works","〒420-0823 静岡県静岡市葵区春日２丁目８−８ 105 テナント","054-330-8125","https://designworks-print.com/","","0","静岡県","ChIJE9clpXA3GmAR-O67kQddESE","example@email.com","https://designworks-print.com/contact"
"西部印刷（株）","〒425-0076 静岡県焼津市小屋敷２０４−１","054-629-2100","https://d--member.com/etc/printer/seibu","5","1","静岡県","ChIJcwMGX31PGmARxxiSMbb11sU","west-printing@ny.tokai.or.jp","https://d--member.com/etc/printer/seibu"
"フジ印刷（有）","〒418-0004 静岡県富士宮市三園平７５２","0544-23-3040","https://www.fuji-insatsu.com/","5","2","静岡県","ChIJWxsCgBrRG2ARA8hNO11qeoM","fuji-insatsu2f@za.tnc.ne.jp; fuji-insatsu@za.tnc.ne.jp","https://www.fuji-insatsu.com/"
"大日三協㈱","〒420-0922 静岡県静岡市葵区流通センター１２−１","0120-967-895","https://dainichi-p.jp/","3.8","8","静岡県","ChIJF8NSBoM1GmARm6ecWQQFb1c","",""
"（有）清幸印刷","〒424-0923 静岡県静岡市清水区幸町８−３２","054-334-5067","https://maps.google.com/?cid=10035990084638680514&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3","2","静岡県","ChIJDzxKkTgxGmARwiU7HM__Ros","",""
"即行プリント","〒420-0874 静岡県静岡市葵区辰起町１−１８","0120-445-132","http://s-print.net/","","0","静岡県","ChIJK011sElKGmARwUHZgotzD6U","shop@s-print.net","http://s-print.net/"
"日興美術㈱","〒420-0922 静岡県静岡市葵区流通センター１２−２","054-263-2211","https://www.nkbj.co.jp/","3.3","3","静岡県","ChIJI5dPD4M1GmARLIuTD8vElY4","info@nkbj.co.jp","https://www.nkbj.co.jp/about"
"星光社印刷株式会社","〒422-8027 静岡県静岡市駿河区豊田２丁目４−３０","054-286-3131","http://www.spdigital.net/","3.7","3","静岡県","ChIJJb_UQRY2GmARWaZsp9vcoDE","",""
"大判ポスター印刷の激安店「ディプリーズ」","〒420-0812 静岡県静岡市葵区葵区古庄２丁目３−２１","054-659-1700","https://dpri-s.com/","","0","静岡県","ChIJCUqzk9w1GmARpX45sF-18eQ","info@dpri-s.com","https://dpri-s.com/"
"有限会社サカエ印刷","〒424-0808 静岡県静岡市清水区大手1丁目清水区大手１丁目７−６","","https://www.p-sakae.co.jp/","","0","静岡県","ChIJF31SE_czGmARKUlW6WY5BSA","",""
"ベル印刷（株）","〒410-0312 静岡県沼津市原４５０−５","055-966-0120","http://www.beruinsatu.com/","5","2","静岡県","ChIJt7s9uKKGGWARQAIvhva9Db8","info@beruinsatu.com","http://www.beruinsatu.com/contact"
"佐野印刷（株）","〒424-0846 静岡県静岡市清水区木の下町１１１","054-368-4461","http://sano-printing.jp/","4","1","静岡県","ChIJ-_hwNa82GmARC5JQaUVZHr8","",""
"（株）長谷川印刷","〒428-0026 静岡県島田市金谷本町２０００","0547-46-2014","https://hasegawa-insatu.com/72737/","5","1","静岡県","ChIJT62lLQVXGmAR_6E0Jol278w","",""
"株式会社横山事務器","〒422-8067 静岡県静岡市駿河区南町１−１３","054-285-4165","http://www.y-jimu.jp/","4.5","2","静岡県","ChIJB206lfBJGmARkoG54WO1T-8","info@y-jimu.jp","http://www.y-jimu.jp/"
"春日印刷工業（株）","〒424-0886 静岡県静岡市清水区草薙２１６８−３","054-345-4818","https://kasugaprint.co.jp/","5","1","静岡県","ChIJ_VXPUy00GmARF_96WedNhxM","",""
"（株）ヨシモト印刷社","〒421-2114 静岡県静岡市葵区安倍口新田３９３ ヨシモト印刷社","054-296-2111","http://www.yoshimoto-p.jp/","3.4","5","静岡県","ChIJI7jtJx5LGmAR2AMmkTsCysc","",""
"フジパック（株）","〒422-8021 静岡県静岡市駿河区小鹿３９５−２","054-284-0123","https://fujipack.co.jp/","5","1","静岡県","ChIJNzhcXUI2GmARpW7VUAzkyAo","",""
"国立印刷局 静岡工場","〒422-8004 静岡県静岡市駿河区国吉田３丁目５−１","054-265-8004","http://www.npb.go.jp/ja/guide/soshiki/shizuoka.html","4","15","静岡県","ChIJcRfOoHg2GmARlvkm1o7LW9I","",""
"パイオニア印刷東海","〒425-0064 静岡県焼津市三和１５６５","054-624-0352","http://www.pioneer-printing.co.jp/about_us.html","2.3","6","静岡県","ChIJ59lKY8pFGmARqD4XHv7EZWs","",""
"株式会社エルモ","〒424-0881 静岡県静岡市清水区楠５１１−１","054-348-6552","https://elmo-1996.co.jp/","4","3","静岡県","ChIJ--y-GjM0GmARBPq70STcul8","",""
"トップ","〒424-0067 静岡県静岡市清水区鳥坂２４５","054-349-1100","http://www.kktop.co.jp/","2.5","15","静岡県","ChIJN-smaTU0GmARSp0oXMs-Z5M","",""
"（株）渡辺印刷","〒427-0022 静岡県島田市本通７丁目７６６１−５","0547-37-4561","https://nabe-pri.com/","","0","静岡県","ChIJ9YvMh5NQGmAREI8GLjBjOcY","watanabe-insatu@thn.ne.jp; info@nabe-pri.com","https://nabe-pri.com/"
"島田プリント工房 印刷の窓口 オカダ2F","〒427-0022 静岡県島田市本通３丁目5−７","0547-36-2626","https://kk-okada.co.jp/koubou","","0","静岡県","ChIJCUa2WJ9RGmARXTQAvVJUHdM","",""
"昭和印刷加工（有）","〒420-0876 静岡県静岡市葵区平和２丁目２９−３０","054-271-7111","https://www.showa-p.com/","4.5","2","静岡県","ChIJ5RCpkFFKGmARbAss0Q-N1xs","",""
"（有）和興印刷","〒420-0831 静岡県静岡市葵区水落町１１−１０","054-245-8898","https://maps.google.com/?cid=7772638043692470123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","1","静岡県","ChIJmbDBWRpKGmARaw_6mR713Ws","",""
"日本レーベル印刷 本社","〒422-8004 静岡県静岡市駿河区国吉田３丁目１−１","054-262-1111","http://www.label.co.jp/","5","2","静岡県","ChIJY_Q8k9c1GmARa_y3RRsrtjE","info@label.co.jp","http://www.label.co.jp/"
"パッケージ 印刷デザイン 大信印刷（株）静岡営業所","〒422-8058 静岡県静岡市駿河区中原７９６−１","054-270-9177","http://taishin-printing.co.jp/","","0","静岡県","ChIJLaSBbNBJGmAR_DsEfoeDliw","",""
"大日本印刷（株） 静岡営業所","〒420-0857 静岡県静岡市葵区御幸町１１−３０","054-255-0371","https://maps.google.com/?cid=17275768963708436322&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","1","静岡県","ChIJbdYJ1_lJGmARYj-Pb1fcv-8","",""
"TOPPAN㈱静岡営業所","〒420-0858 静岡県静岡市葵区伝馬町８−６ トップセンタービル","054-254-9128","https://maps.google.com/?cid=643360018478266756&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJXz2FwvdJGmARhPkVNIes7Qg","",""
"有限会社 加瀬澤製版","〒422-8077 静岡県静岡市駿河区大和１丁目３−３","054-284-5727","http://www2.myu-k.co.jp/","","0","静岡県","ChIJY36oLfxJGmARtSHk1LBwSJc","",""
"池田屋印刷（株）","〒422-8058 静岡県静岡市駿河区中原７４６−１","054-285-8275","https://ikedayaprinting.co.jp/","4","1","静岡県","ChIJ9206aMNJGmARHJRfyVelSbY","",""
"渡辺印刷（有）","〒420-0871 静岡県静岡市葵区昭府２丁目２３−３９","054-252-0919","https://maps.google.com/?cid=4746042131867866246&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","3","静岡県","ChIJ1T-EVFhKGmARhpQFXyxU3UE","",""
"（株）光栄印刷 静岡営業所","〒420-0021 静岡県静岡市葵区茶町１丁目１３ 光栄印刷","054-253-6986","https://maps.google.com/?cid=16715386094777860307&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJExXArCNKGmAR0wC9Xhf7-Oc","",""
"中部印刷（株） 静岡営業所","〒422-8037 静岡県静岡市駿河区下島４２６−１","054-237-9133","https://www.chu-bu.co.jp/","1","1","静岡県","ChIJb6QLVcw3GmAR4XQdLsa4tp4","",""
"明和印刷（株）","〒422-8058 静岡県静岡市駿河区中原５４１−２","054-283-1877","http://www.meiwa-p.com/","3.7","3","静岡県","ChIJixGvv9xJGmARUgfV6hfjIhg","",""
"株式会社サイラン","〒420-0839 静岡県静岡市葵区鷹匠３丁目１１−４","054-255-3105","https://www.sairan.co.jp/","3","1","静岡県","ChIJE30mMgNKGmARLzN4xTruhIw","skonagai@sairan.co.jp; hkato@sairan.co.jp; example@example.jp","https://www.sairan.co.jp/contact"
"（株）共立アイコム静岡オフィス","〒420-0858 静岡県静岡市葵区伝馬町１−２ 3F 23号室","054-205-0818","https://www.kpnet.co.jp/","","0","静岡県","ChIJaZI3CflJGmARdGbnx-Wz9aQ","",""
"栗田印房 役所前店","〒420-0031 静岡県静岡市葵区呉服町２丁目５−１","054-253-0900","https://maps.google.com/?cid=16951869797291233245&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3.5","2","静岡県","ChIJFbSQER5KGmAR3Y83CsQjQes","",""
"株式会社 静岡図工社","〒422-0841 静岡県静岡市駿河区中田１丁目５−３０","","https://zukousha.com/","5","2","静岡県","ChIJ7euJ1yFKGmARvrVTAXygvTE","zukousha@tokai.or.jp; telfaxe-mail054-270-8450054-270-7922zukousha@tokai.or.jp; 054-270-7922zukousha@tokai.or.jp","https://zukousha.com/contact"
"中央パッケージング","〒422-8021 静岡県静岡市駿河区小鹿１丁目６３−１ タミヤ小鹿第一工場","054-282-3121","http://www.chuopkg.co.jp/","3.3","7","静岡県","ChIJM8n4Wm02GmAR2YgU-y4wDOg","",""
"青山印刷","〒420-0842 静岡県静岡市葵区銭座町80−６ 松下畳店 作業所","054-245-0270","https://maps.google.com/?cid=18414978350130413333&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","1","静岡県","ChIJbRukJ_k1GmARFT8IIj4lj_8","",""
"日本印刷工業株式会社","〒422-8001 静岡県静岡市駿河区中吉田１４−３５","054-263-2011","https://www.nihon-insatsu.co.jp/","4","1","静岡県","ChIJ__-_idE1GmARalgShznitBE","example@gmail.com","https://www.nihon-insatsu.co.jp/contact"
"トップ 静岡営業所","〒422-8067 静岡県静岡市駿河区南町１８−１ 15F","054-274-1919","http://oa-top.co.jp/","4.4","14","静岡県","ChIJZftTXR9KGmARkXxG8hea3V8","",""
"オリジナルプリント Ｔシャツ屋さん Leestore","〒420-0839 静岡県静岡市葵区鷹匠１丁目４−６ ヤマダビル1Ｆ","054-659-0934","http://leestore.flips.jp/","4.5","15","静岡県","ChIJIcEYGx1KGmARAqa6Yn0ebJI","leestore2008@yahoo.co.jp","http://leestore.flips.jp/"
"（有）シオザワ印刷","〒420-0833 静岡県静岡市葵区東鷹匠町６−８","054-246-8525","https://maps.google.com/?cid=4255404407668395485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","2","静岡県","ChIJDaWmkgNKGmAR3c20PsM7Djs","",""
"株式会社ACO","〒420-0852 静岡県静岡市葵区紺屋町４−８ ガーデンスクエア第3ビル","054-272-3222","https://www.a-c-o.com/","5","2","静岡県","ChIJO3Iz6PNPGmARr4_OkhoCeIE","",""
"杉山写真材料店","〒420-0858 静岡県静岡市葵区伝馬町７−７","054-254-2661","https://sugiyama.camera/","4.7","61","静岡県","ChIJA3_vkvdJGmARHFUKo5lvb8Q","info@sugiyama-camera.jp","https://sugiyama.camera/contact"
"株式会社まつよ","〒422-8058 静岡県静岡市駿河区中原５９６−２","054-287-7782","https://matuyo.co.jp/","","0","静岡県","ChIJFboSbttJGmARdgvkF8ErGFw","",""
"シオサカ印刷（株）","〒422-8006 静岡県静岡市駿河区曲金７丁目８−６５","054-283-2277","https://www.shiosaka.jp/","3.3","4","静岡県","ChIJF5Y7bgw2GmAR5psGxV21GyQ","",""
"寿印刷（株）","〒420-0944 静岡県静岡市葵区新伝馬１丁目２−３５","054-271-2764","http://www.kotobuki-printing.com/","1","1","静岡県","ChIJZ4AbN1JKGmARZW6o2uSw5JY","info@kotobuki-printing.com","http://www.kotobuki-printing.com/"
"印刷 日本ビスタ株式会社","〒425-0091 静岡県焼津市八楠４丁目２５−２","054-629-0282","https://www.nihonvista.com/","5","4","静岡県","ChIJVVYA7UFPGmAREg49bdiCwjQ","",""
"BRAF","〒420-0064 静岡県静岡市葵区本通１丁目３−６ 荒井ビル 2A","054-266-3736","https://braf.jp/","","0","静岡県","ChIJ-URg65tLGmARKjBg1hPP4F8","",""
"有限会社 橋本印刷所","〒422-8046 静岡県静岡市駿河区中島３９０","054-286-3336","https://www.h-print.jp/","","0","静岡県","ChIJIxlocdRJGmARAKhFcNwmmR4","",""
"マキノ印刷所","〒420-0803 静岡県静岡市葵区千代田１丁目６−１５","054-245-0472","https://maps.google.com/?cid=10532034718629266210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","1","静岡県","ChIJCXhaEAhKGmARIoP6hcZNKZI","",""
"竹内印刷","〒420-0839 静岡県静岡市葵区鷹匠２丁目１７−８ 万緑館","054-255-2586","https://maps.google.com/?cid=13544413741387268170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJW5HboAJKGmARSsBOUols97s","",""
"細倉印刷所","〒420-0027 静岡県静岡市葵区大工町５−１０","054-252-5274","https://maps.google.com/?cid=16314677517969852533&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJQ8NCBCFKGmARdQilg8NgaeI","",""
"（有）好文舎印刷所","〒420-0865 静岡県静岡市葵区東草深町４−８","054-245-8823","https://maps.google.com/?cid=15928072961786241954&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJiZYWfhpKGmARouPF2_fhC90","",""
"静岡英文印刷（株）","〒420-0009 静岡県静岡市葵区神明町７０ 英文印刷","054-271-2121","https://maps.google.com/?cid=18322009019222410010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3","1","静岡県","ChIJ79qB5zBKGmARGkNB-iDaRP4","",""
"松本印刷 川尻工場","〒421-0302 静岡県榛原郡吉田町川尻１２８２","0548-32-9451","http://www.m-print.co.jp/profile/","4.3","4","静岡県","ChIJKbi17mVDGmARBgIO7c_PwzI","",""
"諸星印刷所","〒420-0001 静岡県静岡市葵区井宮町１１４","054-271-2556","https://maps.google.com/?cid=12026062830710155618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJqbeTB0hKGmARYukBf20o5aY","",""
"三和印刷紙工所","〒420-0813 静岡県静岡市葵区長沼１００３","054-261-7745","https://maps.google.com/?cid=17625452581984023803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","1","静岡県","ChIJ8eEcf-A1GmAR-zSmWr0vmvQ","",""
"（有）大塚箔押印刷","〒422-8033 静岡県静岡市駿河区登呂６丁目１４−２","054-281-4129","https://maps.google.com/?cid=12236840391245395313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","1","静岡県","ChIJg08s6Cg2GmARcXVVlYD90ak","",""
"金刺印刷所","〒420-0876 静岡県静岡市葵区平和２丁目９−１３","","https://maps.google.com/?cid=1455963879931137210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJVVWxbE5KGmARukwYTW-fNBQ","",""
"新晃印刷所","〒422-8046 静岡県静岡市駿河区中島２８６７−２ 中島団地Ｓ４１号棟","054-282-9029","https://maps.google.com/?cid=11610932675944659948&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJ09jO8dRJGmAR7DuoXMBRIqE","",""
"静雲堂印刷所","〒422-8058 静岡県静岡市駿河区中原３０６−７","054-282-4777","https://maps.google.com/?cid=16626992181905085522&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJ66fFMupJGmARUlSmvUvxvuY","",""
"八千代印刷（株）","〒422-8027 静岡県静岡市駿河区豊田１丁目８−３６","054-283-0111","http://www.yachiyo-p.com/","","0","静岡県","ChIJp8xm2Bk2GmAROo0_NiWlZig","",""
"（有）北村印刷","〒422-8063 静岡県静岡市駿河区馬渕４丁目１５−１６","054-285-1041","https://maps.google.com/?cid=5620212706501626739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJa8IDg-hJGmARc4sq7a0B_00","",""
"松本印刷","〒437-1612 静岡県御前崎市池新田５７９０−１","0537-86-2075","https://maps.google.com/?cid=11319400574539737234&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4.3","4","静岡県","ChIJvVrs5ZBgGmARkijLi9mWFp0","",""
"研文社印刷（株）","〒424-0826 静岡県静岡市清水区万世町２丁目９−１","054-352-1640","http://www.kenbunsha.co.jp/","3","1","静岡県","ChIJ_-PdGVoxGmARjPd_5QjS1sU","",""
"牧野印刷","〒422-8052 静岡県静岡市駿河区緑が丘町１−４５−２","054-285-5268","https://maps.google.com/?cid=5943996463011123434&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJv0Er4epJGmAR6tD0W0pRfVI","",""
"渡邊印刷","日本、〒420-0876 静岡県静岡市葵区平和２丁目１","","https://maps.google.com/?cid=4071082445403136675&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJ0YHoRk9KGmARoyKVIepjfzg","",""
"杉山印刷所","〒422-8044 静岡県静岡市駿河区西脇６６６−２","054-283-0016","https://maps.google.com/?cid=3524758295241963171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJz-2ipSo2GmARozYCm_506jA","",""
"斎藤印刷株式会社","〒416-0946 静岡県富士市五貫島７６０−１","0545-61-1817","https://www.saitoprinting.net/","3","1","静岡県","ChIJD36Be28rGmARuXFvQJd58_c","",""
"協栄印刷所","〒420-0937 静岡県静岡市葵区唐瀬１丁目２−２５","054-245-5031","https://maps.google.com/?cid=13340706031972370366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJcYGRuGNKGmARvsefOHS1I7k","",""
"(株)太陽印刷社","〒421-0103 静岡県静岡市駿河区丸子６２９２","054-256-3366","https://taiyo-insatsu.com/","3.8","5","静岡県","ChIJJ4HNCiFKGmAR6O99JZdOkf0","",""
"中部田中印刷（株）","〒422-8033 静岡県静岡市駿河区登呂２丁目９−１５","054-286-6424","http://ct-print.jp/","","0","静岡県","ChIJS0vOSDc2GmARqM6HBmLfpUE","",""
"（有）福島印刷","〒420-0813 静岡県静岡市葵区長沼６３０","054-261-8245","http://www.fukusimax.co.jp/","","0","静岡県","ChIJt-Ups-M1GmARlLGKIehY9Tg","",""
"（株）神戸印刷本店","〒426-0021 静岡県藤枝市城南１丁目１０−２１","054-641-0433","https://maps.google.com/?cid=16663446499928956130&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJU-kYeppPGmAR4tz9EU50QOc","",""
"にじいろ・衣料印刷所","〒410-3623 静岡県賀茂郡松崎町伏倉３８０−１","0558-42-3739","https://maps.google.com/?cid=5607586930570268587&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","1","静岡県","ChIJiauzG475GWARq4_DY5om0k0","",""
"オリジナルTシャツ GOOD MORNING","〒420-0839 静岡県静岡市葵区鷹匠１丁目２−５ マルスズビル","054-251-2575","https://www.footlocker.jp/","5","2","静岡県","ChIJxUCDdB1KGmAR1DHl_eIDER0","",""
"オリジナルTシャツのSu&Kuu鷹匠店【スーアンドクウ】","〒420-0839 静岡県静岡市葵区鷹匠３丁目１−２０ サンパレス鷹匠 105","054-293-6926","https://www.suandkuu.com/","4.8","9","静岡県","ChIJeW1BTRZLGmARVgqkptTnPNs","",""
"プリントショップ和壱","〒422-8005 静岡県静岡市駿河区池田５２８−２","054-265-0190","https://www.waichi.jp/","3","1","静岡県","ChIJXQuBJXI2GmARj-tP1MVdfbs","info@waichi.jp","https://www.waichi.jp/contact"
"ハンズ静岡店","〒420-0839 静岡県静岡市葵区葵区鷹匠１丁目１−１ 新静岡セノバ ３F","054-266-9311","http://shizuoka.hands.net/?utm_source=GMB_shizuoka&utm_medium=profile&utm_campaign=GMB","3.8","938","静岡県","ChIJVZ64ZB1KGmARaVVfGZslrYU","",""
"オオイシ文具店","〒420-0852 静岡県静岡市葵区紺屋町３−４","054-252-0512","http://oo14bung.eshizuoka.jp/","3.9","37","静岡県","ChIJxYEvQPZJGmARg9UYe28qXo8","",""
"MARUZEN & ジュンク堂書店 新静岡店","〒420-0839 静岡県静岡市葵区鷹匠１丁目１−１ 新静岡セノバ ５階","054-275-2777","https://honto.jp/store/detail.html?shcd=70070&shgcd=HB310&extSiteId=maruzen","4.2","767","静岡県","ChIJ3wHkex1KGmARUQsPxHxO9ck","",""
"写真屋ピージロー清水下野店","〒424-0013 静岡県静岡市清水区下野緑町１−３０","054-367-4862","http://www.p-jiro.com/","4.2","13","静岡県","ChIJeaG5BHI0GmAR409tWJOcisw","",""
"プリントショップエコー","〒420-0812 静岡県静岡市葵区古庄２丁目１５−２８","054-262-9718","https://maps.google.com/?cid=9734199529295261980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","1","静岡県","ChIJWaRpjNw1GmARHDFr3OXSFoc","",""
"サンカメラ","〒420-0031 静岡県静岡市葵区呉服町２丁目７−７","054-255-1178","https://maps.google.com/?cid=2347390870615926951&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1.6","8","静岡県","ChIJuxRRGvZJGmARp6gOUI-bkyA","",""
"プリントショップ一作屋","〒421-0302 静岡県榛原郡吉田町川尻１２８２","0548-34-2033","https://issakuya.com/","","0","静岡県","ChIJXdXZBKlDGmARRw8ZF4uSSAM","",""
"ノジマ 新静岡セノバ店","〒420-8508 静岡県静岡市葵区鷹匠１丁目１−１ 新静岡セノバ 4F","054-653-3301","https://www.nojima.co.jp/shop/shizuoka/shinshizuokasenoba/?utm_source=Yext&utm_medium=Yext&utm_campaign=Listings","4.1","909","静岡県","ChIJVZ64ZB1KGmAR7Q4ZCNuqjxU","",""
"（有）タツオ","〒426-0014 静岡県藤枝市若王子１丁目２−１２ エルシオン若王子","054-645-0225","http://tatsuo-d.jp/","3.7","3","静岡県","ChIJMd9FicdPGmARPlEPhAL66VE","info@tatsuo-d.jp","http://tatsuo-d.jp/"
"ヴィレッジヴァンガード 静岡パルコ店","〒420-0852 静岡県静岡市葵区紺屋町６−７ 静岡パルコ 6F","054-903-8859","https://www.village-v.co.jp/","3.7","65","静岡県","ChIJ9acQUfZJGmAR4nVxqPEEjDw","",""
"ことぶき衣料","〒420-0011 静岡県静岡市葵区安西２丁目１２","054-252-2650","https://maps.google.com/?cid=10169112310617453043&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4.5","4","静岡県","ChIJTff6OTtKGmAR87Fnq8TxH40","",""
"フォトスタジオふぁんふぁん® マークイズ静岡店","〒420-0821 静岡県静岡市葵区柚木１０２６","054-297-3511","https://www.1122.co.jp/studio/shizuoka/index.html","4.8","197","静岡県","ChIJ1wHWN_01GmARZzWztcSMwGo","",""
"オリカラー田沼本店","〒426-0061 静岡県藤枝市田沼２丁目１０−２１","054-635-2390","http://www.oricolor.co.jp/","1","1","静岡県","ChIJ-yEsEfVPGmARgQ1VaTaekHU","digital2@oricolor.co.jp","http://www.oricolor.co.jp/"
"ルーキー本店","〒420-0913 静岡県静岡市葵区瀬名川２丁目２７−３３ ルーキービル","054-262-6756","https://rookie-h.com/","4","1","静岡県","ChIJD7ZRW8Y1GmARaJSin7f0shA","",""
"文具館コバヤシ 長田店","〒421-0112 静岡県静岡市駿河区東新田１丁目１５−２８","054-266-3120","http://www.kobabun.net/shop-list/osada/","3.9","231","静岡県","ChIJAQCwPL1JGmAR2bLLeZK0I_M","",""
"プリントショップ","〒424-0871 静岡県静岡市清水区上原２丁目５−１０","","https://maps.google.com/?cid=1942001243341647201&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","静岡県","ChIJa2LMlSE0GmARYe2-dtdf8xo","",""
